matched,code,display,definition,parent_code,parent_display,lvl1_code,lvl1_display,display_en,definition_en,lvl1_display_en,parent_display_en
Ausweiskopie,AM160110,Ausweiskopie,"Die Dokumentation beinhaltet die Kopie eines Ausweisdokumentes. Exkl.: Herzschrittmacherausweis, Implantat-Ausweis",AM1601,Patienteneigene Dokumente,AM,Administration,ID copy,"The documentation includes a copy of an identification document. Excl.: pacemaker ID card, implant ID card",Administration,Patient-specific documents
BarthelIndex,SD070201,Barthel Index,Die Dokumentation beinhaltet Angaben zur Ermittlung der eventuell benötigten Hilfestellung im Alltag. Die Auswertung erfolgt durch ein Punktesystem.,SD0702,Geriatrische Dokumente,SD,Spezielle Dokumentation,Barthel Index,The documentation contains information to determine any assistance needed in everyday life. The assessment is based on a points system.,Special documentation,Geriatric documents
Beatmungsprotokoll,VL090101,Beatmungsprotokoll,Die Dokumentation beinhaltet standardisierte Angaben zur Art und Dauer von Beatmungsepisoden.,VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Ventilation protocol,The documentation includes standardized information on the type and duration of ventilation episodes.,Course,Intensive care documents
Befundbogen,AD020202,Befundbogen,"Die Dokumentation beinhaltet Ergebnisse der ärztlichen Untersuchung. Exkl.: Funktionsdiagnostik, bildgebende Diagnostik, Funktionstest, Ärztlicher Befundbericht",AD0202,Befunderhebungen,AD,Arztdokumentation,Report form,"The documentation includes the results of the medical examination. Excl.: functional diagnostics, imaging diagnostics, functional tests, medical report.",Medical documentation,Findings
BefundevozierterPotentiale,DG060103,Befund evozierter Potentiale,"Die Dokumentation beinhaltet Ergebnisse von neurophysiologischen Untersuchungen, bei der Veränderungen der elektrischen Aktivität von Nerven, Rückenmark oder Gehirn dargestellt und ausgewertet werden. z.B.: VEP, AEP, SEP",DG0601,Funktionsdiagnostiken,DG,Diagnostik,Findings Evoked Potentials,"The documentation includes results from neurophysiological examinations in which changes in the electrical activity of nerves, spinal cord, or brain are displayed and evaluated. e.g.: VEP, AEP, SEP",Diagnostics,Functional diagnostics
Befundextern,AD020208,Befund extern,"Die Dokumentation beinhaltet Ergebnisse von verschiedenen ärztlichen/therapeutischen Untersuchungen und Befunderhebungen, welche in vorbehandelnden Einrichtungen/Praxen entstanden sind, aber nicht durch eine spezifischere KDL abgebildet werden kann. Exkl. Laborbefund extern;  Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet.",AD0202,Befunderhebungen,AD,Arztdokumentation,External findings,"The documentation includes results from various medical/therapeutic examinations and findings obtained in previous treatment facilities/practices, but which cannot be represented by a more specific KDL. Excludes external laboratory results; Note: This KDL document class will be obsolete as of January 1, 2026.",Medical documentation,Findings
Behandlungsplan,VL040309,Behandlungsplan,"Die Dokumentation beinhaltet eine Übersicht von geplanten Maßnahmen zur Behandlung. Inkl.: KBV Muster 70 (Behandlungsplan für Maßnahmen zur künstlichen Befruchtung), Terminplan, Übersicht über Behandlungstermine",VL0403,Durchführungsnachweise,VL,Verlauf,Treatment plan,"The documentation includes an overview of planned treatment measures. Includes: KBV Form 70 (Treatment Plan for Assisted Reproductive Technology), schedule, and an overview of treatment appointments.",Course,Evidence of implementation
Behandlungsvertrag,AM220101,Behandlungsvertrag,Die Dokumentation beinhaltet Angaben zum Umfang einer Behandlung und die damit verbundenen Rechte und Pflichten zwischen  Einrichtung und Patient.,AM2201,Verträge,AM,Administration,Treatment contract,The documentation contains information on the extent of treatment and the associated rights and obligations between the facility and the patient.,Administration,Contracts
Blutdruckprotokoll,DG060104,Blutdruckprotokoll,Die Dokumentation beinhaltet Ergebnisse von Messungen des arteriellen und venösen Drucks in den Blutgefäßen.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,Blood pressure protocol,The documentation includes results of measurements of arterial and venous pressure in the blood vessels.,Diagnostics,Functional diagnostics
Blutgasanalyse,LB020101,Blutgasanalyse,Die Dokumentation beinhaltet Ergebnisse zur Gasverteilung im Blut.,LB0201,Blut,LB,Labor,Blood gas analysis,The documentation includes results on gas distribution in the blood.,Laboratory,blood
Bluttransfusionsprotokoll,TH200103,Bluttransfusionsprotokoll,Die Dokumentation beinhaltet alle relevanten Angaben zur Übertragung von Blut oder Blutbestandteilen an den Empfänger.,TH2001,Transfusionsdokumente,TH,Therapie,Blood transfusion protocol,The documentation contains all relevant information regarding the transfer of blood or blood components to the recipient.,therapy,Transfusion documents
CT-Befund,DG020103,CT-Befund,"Die Dokumentation beinhaltet Ergebnisse einer speziellen radiologischen Untersuchung. Es entsteht ein mehrdimensionaler Querschnitt von Knochen und Weichteilen, welcher bildlich dargestellt und ausgewertet wird. Exkl.: PET-Befund",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,CT findings,"The documentation includes the results of a special radiological examination. This creates a multidimensional cross-section of bone and soft tissue, which is then visualized and evaluated. Excl.: PET scan findings",Diagnostics,Imaging diagnostics
Chargendokumentation,OP150101,Chargendokumentation,Die Dokumentation beinhaltet den Nachweis über verwendete Medizinprodukte und Arzneimittel während eines Eingriffes/Untersuchung. Exkl.: OP-Zählprotokoll,OP1501,OP-Dokumente,OP,Operation,Batch documentation,The documentation includes evidence of medical devices and medications used during a procedure/examination. Excl.: surgical count log,operation,Surgical documents
ChecklisteAufnahme,AU010104,Checkliste Aufnahme,"Die Dokumentation beinhaltet Angaben über erforderliche medizinische, organisatorische Maßnahmen zum Aufnahmezeitpunkt. Erfolgte Durchführungen werden gekennzeichnet.",AU0101,Aufnahmedokumente,AU,Aufnahme,Checklist Admission,The documentation includes information about necessary medical and organizational measures at the time of admission. Completed measures are marked.,Admission,Admission documents
ChecklistebildgebendeDiagnostik,DG020115,Checkliste bildgebende Diagnostik,"Die Dokumentation beinhaltet Angaben über Voraussetzungen, den Ablauf oder erforderliche bildgebende Diagnostiken. Erfolgte Durchführungen werden gekennzeichnet.",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,ChecklistImagingDiagnostics,"The documentation includes information about the prerequisites, the procedure, and any required imaging diagnostics. Completed procedures are marked.",Diagnostics,Imaging diagnostics
Chemotherapieprotokoll,TH130103,Chemotherapieprotokoll,Die Dokumentation beinhaltet den Nachweis über die verabreichte Dosis der Zytostatika und die Anzahl der Zyklen.,TH1301,Medikamentöse Therapien,TH,Therapie,Chemotherapy protocol,The documentation includes proof of the administered dose of cytostatic drugs and the number of cycles.,therapy,Drug therapies
DiabetikerKurve,VL040101,Diabetiker Kurve,Die Dokumentation beinhaltet Messungen zur Kontrolle des Blutzuckers über einen bestimmten Zeitraum.,VL0401,Diabetesdokumente,VL,Verlauf,Diabetic Curve,The documentation includes measurements to control blood sugar over a certain period of time.,Course,Diabetes documents
Dialyseprotokoll,VL040202,Dialyseprotokoll,Die Dokumentation beinhaltet die Durchführung eines Blutreinigungsverfahrens.,VL0402,Dialysedokumente,VL,Verlauf,Dialysis protocol,The documentation includes the implementation of a blood purification procedure.,Course,Dialysis documents
Dokumentation COVID,SD110107,Dokumentation COVID,"Die Dokumentation beinhaltet Angaben über den Mehraufwand bei einer Infektion durch ein COVID-Virus. Stehen für diagnostische und/oder therapeutische Maßnahmen im Rahmen der COVID-Behandlung spezifischere KDL-Kodes zur Verfügung, sind diese zu verwenden. Inkl.: Long COVID Dokumentation, Exkl.: Dokumentation Meldepflicht",SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,DocumentationCOVID,"The documentation includes information on the additional costs associated with a COVID virus infection. If more specific KDL codes are available for diagnostic and/or therapeutic measures within the scope of COVID treatment, these must be used. Includes: Long COVID documentation, excludes: Documentation reporting requirements.",Special documentation,Complex treatments
DokumentationsbogenHerzschrittmacherkontrolle,DG060107,Dokumentationsbogen Herzschrittmacherkontrolle,Die Dokumentation beinhaltet Ergebnisse einer Nachsorgeuntersuchung nach dem Einsetzen eines Herzschrittmacherimplantats.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,Pacemaker check documentation sheet,The documentation includes results of a follow-up examination after the insertion of a pacemaker implant.,Diagnostics,Functional diagnostics
DokumentationsbogenLungenfunktionsprüfung,DG060108,Dokumentationsbogen Lungenfunktionsprüfung,"Die Dokumentation beinhaltet Ergebnisse einer Untersuchung zur Feststellung der Leistungsfähigkeit der Lunge. Inkl.: Bodyplethysmographie, Spirometrie",DG0601,Funktionsdiagnostiken,DG,Diagnostik,Documentation sheet for pulmonary function tests,"The documentation includes the results of a lung function test, including body plethysmography and spirometry.",Diagnostics,Functional diagnostics
DokumentationsbogenMeldepflicht,AM170101,Dokumentationsbogen Meldepflicht,"Die Dokumentation beinhaltet meldepflichtigen Daten an Dritte. Inkl.: Infektionserkrankungen, Krankheitserreger, unerwünschte Ereignisse durch Medizinprodukte",AM1701,Qualitätssicherungen,AM,Administration,Documentation form Reporting obligation,"The documentation includes data that must be reported to third parties. Including: infectious diseases, pathogens, and adverse events caused by medical devices.",Administration,Quality assurance
EEG-Auswertung,DG060109,EEG-Auswertung,Die Dokumentation beinhaltet die Ergebnisse sowie die visuelle Darstellung der Aufzeichnung und Messung der elektrischen Ströme des Gehirns.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,EEG analysis,The documentation includes the results as well as the visual representation of the Admission and measurement of the brain's electrical currents.,Diagnostics,Functional diagnostics
EKG-Auswertung,DG060111,EKG-Auswertung,"Die Dokumentation beinhaltet die Ergebnisse sowie die visuelle Darstellung der Aufzeichnung und Messung der elektrischen Aktivität des Herzens. Exkl.: Ergometriebefund, Belastungs-EKG",DG0601,Funktionsdiagnostiken,DG,Diagnostik,ECG analysis,"The documentation includes the results as well as a visual representation of the Admission and measurement of the heart's electrical activity. Excl.: ergometry results, stress ECG",Diagnostics,Functional diagnostics
EMG-Befund,DG060110,EMG-Befund,Die Dokumentation beinhaltet die Ergebnisse sowie die visuelle Darstellung der Aufzeichnung und Messung der elektrischen Muskelaktivität.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,EMG findings,The documentation includes the results as well as the visual representation of the Admission and measurement of electrical muscle activity.,Diagnostics,Functional diagnostics
Echokardiographiebefund,DG020104,Echokardiographiebefund,"Die Dokumentation beinhaltet Ergebnisse einer ultraschallgestützten Untersuchung der Struktur und Funktion des Herzens, welche bildlich dargestellt und ausgewertet werden.",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Echocardiography findings,"The documentation includes results of an ultrasound-assisted examination of the structure and function of the heart, which are presented and evaluated visually.",Diagnostics,Imaging diagnostics
Ein-undAusfuhrprotokoll,VL040301,Ein- und Ausfuhrprotokoll,"Die Dokumentation beinhaltet Angaben zu Ein - und Ausfuhrmengen in einem bestimmten Zeitraum. Exkl.: Medikamentenplan, Sondenplan",VL0403,Durchführungsnachweise,VL,Verlauf,Import and export protocol,"The documentation includes information on import and export quantities during a specific period. Excl.: medication plan, tube plan",Course,Evidence of implementation
Einsatzprotokoll,AU190101,Einsatzprotokoll,"Die Dokumentation beinhaltet Angaben über den notarztspezifischen Einsatz. Inkl.: Rettungsstellenprotokoll, Nothilfeprotokoll",AU1901,Rettungsstelle,AU,Aufnahme,Operational report,"The documentation contains information about the emergency physician-specific deployment. Including: rescue scene protocol, emergency assistance protocol",Admission,emergency room
EinverständniserklärungBehandlung,AM050105,Einverständniserklärung Behandlung,"Die Dokumentation beinhaltet die schriftliche Erlaubnis um eine geplante Behandlung durchführen und dokumentieren zu können. Inkl.: Einwilligungserklärung Fotodokumentation, Einverständniserklärung Neugeborenenscreening, Einwilligung Apotheke (bspw. zur Herstellung von Arzneimitteln); Exkl.: Einwilligungen im Rahmen der medizinischen Aufklärung (Unterklasse Aufklärungen (AM0103))",AM0501,Einwilligungen/Erklärungen,AM,Administration,Consent formTreatment,"The documentation includes written permission to carry out and document a planned treatment. Includes: Consent for photo documentation, consent for newborn screening, pharmacy consent (e.g., for the preparation of medicines); excludes: consents within the scope of medical information (subclass ""Information (AM0103)"")",Administration,Consents/Declarations
EinwilligungundDatenschutzerklärungEntlassungsmanagement,AM050106,Einwilligung und Datenschutzerklärung Entlassungsmanagement,Die Dokumentation beinhaltet ein bundeseinheitliches Formular zu Inhalten und Zielen des Entlassmanagement mit schriftlicher Einwilligung zur Datenübermittlung an die Krankenkasse mit Widerruf.,AM0501,Einwilligungen/Erklärungen,AM,Administration,Consent and Privacy Policy Discharge Management,The documentation includes a nationwide form on the content and objectives of discharge management with written consent for data transmission to the health insurance company with revocation.,Administration,Consents/Declarations
Endoskopiebefund,DG020105,Endoskopiebefund,Die Dokumentation beinhaltet Ergebnisse einer Untersuchung bei der Körperhöhlen und Hohlorgane von innen bildlich dargestellt und ausgewertet werden.,DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Endoscopy findings,The documentation contains the results of an examination in which body cavities and hollow organs are visualized and evaluated from the inside.,Diagnostics,Imaging diagnostics
EntlassunggegenärztlichenRat,AM050108,Entlassung gegen ärztlichen Rat,"Die Dokumentation beinhaltet die schriftliche Einwilligung, die stationäre Behandlung vorzeitig gegen ärztlichen Rat abzubrechen.",AM0501,Einwilligungen/Erklärungen,AM,Administration,Discharge against medical advice,The documentation includes written consent to terminate inpatient treatment prematurely against medical advice.,Administration,Consents/Declarations
Entlassungsberichtextern,AD010104,Entlassungsbericht extern,Die Dokumentation beinhaltet die endgültige Zusammenfassung des stationären Aufenthaltes. Erstellt von einer vorbehandelnden Einrichtung. Exkl.: Verlegungsbericht extern; Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL AD010115 (Entlassungsbericht) möglich.,AD0101,Arztberichte,AD,Arztdokumentation,Discharge report external,"This documentation contains the final summary of the inpatient stay. Prepared by a pre-treatment facility. Excl.: External transfer report; Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible with KDL AD010115 (discharge report).",Medical documentation,Medical reports
Entlassungsberichtintern,AD010103,Entlassungsbericht intern,Die Dokumentation beinhaltet die endgültige Zusammenfassung des stationären Aufenthaltes. Erstellt von der entlassenden Einrichtung. Exkl.: Verlegungsbericht intern; Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL AD010115 (Entlassungsbericht) möglich.,AD0101,Arztberichte,AD,Arztdokumentation,Discharge report internal,"This documentation contains the final summary of the inpatient stay. Prepared by the discharging facility. Excl.: Internal transfer report; Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible with KDL AD010115 (discharge report).",Medical documentation,Medical reports
Entlassungsplan,AM030103,Entlassungsplan,Die Dokumentation beinhaltet Angaben zur Vorbereitung einer Entlassung nach stationärem Aufenthalt.,AM0301,Checklisten Administration,AM,Administration,Discharge plan,The documentation includes information on preparing for discharge after an inpatient stay.,Administration,Checklists Administration
Ergotherapieprotokoll,TH060101,Ergotherapieprotokoll,"Die Dokumentation beinhaltet Angaben zur Planung, Zielsetzung und Durchführung der ergotherapeutischen Behandlung. Inkl.: Abschlussbericht, Exkl.: Anforderung Funktionstherapie",TH0601,Funktionstherapien,TH,Therapie,Occupational therapy protocol,"The documentation includes information on the planning, objectives, and implementation of the occupational therapy treatment. Includes: Final report, excludes: Functional therapy requirements.",therapy,Functional therapies
Ernährungsscreening,VL010104,Ernährungsscreening,Die Dokumentation beinhaltet Angaben zur Einschätzung des Ernährungszustands.,VL0101,Assessmentbögen,VL,Verlauf,Nutritional screening,The documentation includes information for assessing nutritional status.,Course,Assessment sheets
FaxArztauskunft,ED190107,Fax Arztauskunft,Die Dokumentation beinhaltet den Informationsaustausch per Fax - direkt elektronisch oder ausgedruckt in Papierkrankenakte. Schwerpunkt: Arztauskunft ohne Befundergebnisse,ED1901,Schriftverkehr elektronisch,ED,Elektronische Dokumentation,Fax doctor information,Documentation includes the exchange of information via fax—directly electronically or printed in a paper medical record. Focus: physician information without diagnostic results,Electronic documentation,Electronic correspondence
FaxSonstige,ED190108,Fax Sonstige,Die Dokumentation beinhaltet den Informationsaustausch per Fax - direkt elektronisch oder ausgedruckt in Papierkrankenakte - die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann.,ED1901,Schriftverkehr elektronisch,ED,Elektronische Dokumentation,FaxOther,The documentation includes the exchange of information by fax - directly electronically or printed in paper medical records - which cannot be represented in a more specific KDL of this subclass.,Electronic documentation,Electronic correspondence
FotodokumentationDiagnostik,ED020103,Fotodokumentation Diagnostik,"Die Dokumentation beinhaltet die digitale direkte Fotodokumentation, die ohne Medienbruch zwischen Anwendungssystemen übertragen wird - Schwerpunkt: Diagnostik",ED0201,Bilddokumentation,ED,Elektronische Dokumentation,Photo documentation Diagnostics,"The documentation includes digital direct photo documentation, which is transferred between application systems without media disruption - Focus: Diagnostics",Electronic documentation,Photo documentation
Geburtenbericht,SD070101,Geburtenbericht,"Die Dokumentation beinhaltet Angaben zum Ablauf der Entbindung und unmittelbar danach, mit Angaben zur Mutter und zum Kind. Die Erfassung erfolgt nicht standardisiert als Freitext. Inkl.: Geburtenprotokoll",SD0701,Geburtendokumente,SD,Spezielle Dokumentation,Birth report,"The documentation includes information about the birth process and the immediate aftermath, including information about the mother and child. It is recorded in a non-standardized format using free text. Includes: Birth certificate",Special documentation,Birth documents
GeriatrischeKomplexbehandlung,SD110101,Geriatrische Komplexbehandlungsdokumentation,Die Dokumentation beinhaltet eine ganzheitliche interdisziplinäre geriatrische Beurteilung mit Festlegung von Maßnahmen im Behandlungsverlauf. Exkl.: Teambesprechungsprotokoll,SD1101,Komplexbehandlungen,SD,Spezielle Dokumentation,Geriatric complex treatment,The documentation includes a holistic interdisciplinary geriatric assessment with the definition of measures throughout the course of treatment. Excl.: Team meeting minutes,Special documentation,Complex treatments
H2Atemtest,DG060202,H2 Atemtest,"Die Dokumentation beinhaltet Ergebnisse einer Untersuchung der Atemgase zur Diagnostik von Magen-Darm Erkrankungen. Inkl.: Anforderung H2 Atemtest, C13 Atemtest",DG0602,Funktionstests,DG,Diagnostik,H2 breath test,"The documentation includes the results of a respiratory gas analysis for the diagnosis of gastrointestinal diseases. Including: H2 breath test, C13 breath test",Diagnostics,Functional tests
Heil-/Hilfsmittelverordnung,AM160301,Heil- / Hilfsmittelverordnung,"Die Dokumentation beinhaltet eine ärztliche Anweisung zur Durchführung von therapeutischen Behandlungen (Bsp. Physiotherapie, Ergotherapie, Logotherapie etc.) sowie die Verordnung von Hilfsmitteln zur therapeutischen Unterstützung (Bsp. Bandagen, Gehilfen, Prothesen etc.). Inkl.: KBV Muster 8 (Sehhilfenverordnung), 8a (Verordnung von vergrößernden Sehhilfen), 13 (Heilmittelverordnung Physikalische Th.), 14, 15 (Verordnung einer Hörhilfe), 18 (Verordnung Ergotherapie), 28 (Verordnung Soziotherapie)",AM1603,Poststationäre Verordnungen,AM,Administration,Prescription of remedies/medical aids,"The documentation includes a medical order for the implementation of therapeutic treatments (e.g., physiotherapy, occupational therapy, speech therapy, etc.) as well as the prescription of aids for therapeutic support (e.g., bandages, crutches, prostheses, etc.). Includes: KBV Form 8 (Prescription for Visual Aids), 8a (Prescription for Magnifying Visual Aids), 13 (Prescription for Physical Therapy), 14, 15 (Prescription for Hearing Aids), 18 (Prescription for Occupational Therapy), 28 (Prescription for Sociotherapy)",Administration,Post-inpatient prescriptions
Herzkatheterprotokoll,DG020106,Herzkatheterprotokoll,"Die Dokumentation beinhaltet Ergebnisse einer minimalinvasiven Untersuchung des Herzens, unter radiologischer Kontrolle, über einen speziellen Katheter. Exkl.: Angiographieprotokoll",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Cardiac catheterization protocol,"The documentation includes the results of a minimally invasive examination of the heart, under radiological guidance, using a special catheter. Excl.: angiography protocol",Diagnostics,Imaging diagnostics
Herzschrittmacherausweis,AM160107,Herzschrittmacherausweis,Die Dokumentation beinhaltet Angaben zum implantierten Schrittmacher einer Person in Form eines Ausweises.,AM1601,Patienteneigene Dokumente,AM,Administration,Pacemaker card,The documentation contains information about a person’s implanted pacemaker in the form of an ID card.,Administration,Patient-specific documents
Histologiebefund,PT080102,Histologiebefund,Die Dokumentation beinhaltet Ergebnisse einer Untersuchung zur Bestimmung von Veränderungen anhand von Gewebeproben.,PT0801,Histopathologie,PT,Pathologie,Histology findings,The documentation includes results of an examination to determine changes based on tissue samples.,Pathology,Histopathology
ICD-Kontrolle,DG060122,Dokumentationsbogen ICD-Kontrolle,Die Dokumentation beinhaltet Ergebnisse einer Nachsorgeuntersuchung nach dem Einsetzen eines Defibrillators auf seine Funktion.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,ICD control,The documentation includes results of a follow-up examination after the insertion of a defibrillator to determine its function.,Diagnostics,Functional diagnostics
Implantat-Ausweis,AM160111,Implantat-Ausweis,Die Dokumentation beinhaltet Angaben zu Implantaten einer Person.,AM1601,Patienteneigene Dokumente,AM,Administration,Implant ID,The documentation includes information about a person’s implants.,Administration,Patient-specific documents
